daerah,provinsi,jenis,periode,pendapatan_daerah,pendapatan_asli_daerah,hasil_pajak_daerah,hasil_retribusi_daerah,hasil_pengelolaan_kekayaan_daerah_yang_dipisahkan,lain_lain_pendapatan_asli_daerah_yang_sah,dana_perimbangan,dana_bagi_hasil_pajak_bagi_hasil_bukan_pajak,dana_alokasi_umum,dana_alokasi_khusus,lain_lain_pendapatan_daerah_yang_sah,pendapatan_hibah,dana_darurat,dana_bagi_hasil_pajak_dari_provinsi_dan_pemerintah_daerah_lainnya,dana_penyesuaian_dan_otonomi_khusus,bantuan_keuangan_dari_provinsi_atau_pemerintah_daerah_lainnya,pendapatan_lain_lain,belanja_daerah,belanja_pegawai_l,belanja_barang_dan_jasa,belanja_modal
Kota Subulussalam,Aceh,Anggaran,2018-07-05,589303000000,57420000000,6330000000,5506000000,621000000,44963000000,438513000000,13733000000,345335000000,79445000000,93371000000,2500000000,0,14989000000,12467000000,0,63415000000,598252000000,50321000000,138529000000,98878000000
Kab Asahan,Sumatera Utara,Anggaran,2018-07-05,1597200000000,121708000000,43548000000,9262000000,5452000000,63446000000,1199891000000,75037000000,877795000000,247059000000,275602000000,89688000000,0,59343000000,0,0,126571000000,1594700000000,52749000000,281456000000,188517000000
Kab Dairi,Sumatera Utara,Anggaran,2018-07-05,1113056000000,101426000000,14212000000,49629000000,13191000000,24395000000,802739000000,20663000000,612746000000,169330000000,208891000000,48895000000,0,21335000000,0,0,138661000000,1156001000000,36173000000,251798000000,156650000000
Kab Deli Serdang,Sumatera Utara,Anggaran,2018-07-05,3733346000000,1000927000000,660622000000,122642000000,19800000000,197863000000,2005268000000,70616000000,1468562000000,466091000000,727150000000,0,0,263744000000,271906000000,191500000000,0,3766358000000,49074000000,941627000000,697679000000
Kab Karo,Sumatera Utara,Anggaran,2018-07-05,1319020000000,147751000000,40795000000,14375000000,2943000000,89637000000,970994000000,21183000000,738378000000,211432000000,200275000000,0,0,27254000000,0,0,173022000000,1404270000000,68957000000,286087000000,136537000000
Kab Labuhanbatu,Sumatera Utara,Anggaran,2018-07-05,1277566000000,180543000000,49550000000,11618000000,17500000000,101875000000,938704000000,44871000000,684408000000,209425000000,158319000000,0,98000000000,0,0,0,60319000000,1386434000000,64133000000,303488000000,317120000000
Kab Langkat,Sumatera Utara,Anggaran,2018-07-05,1834310000000,144051000000,57560000000,22899000000,5200000000,58392000000,1340033000000,160640000000,1179393000000,0,350226000000,108319000000,0,49043000000,0,0,192864000000,1832310000000,106210000000,260649000000,195936000000
Kab Mandailing Natal,Sumatera Utara,Anggaran,2018-07-05,1549169000000,117662000000,22362000000,44534000000,12430000000,38335000000,1071095000000,34200000000,783200000000,253695000000,360412000000,69838000000,0,37455000000,0,0,253120000000,1562169000000,13661000000,372115000000,194466000000
Kab Nias,Sumatera Utara,Anggaran,2018-07-05,854964000000,81394000000,5155000000,2731000000,9000000000,64508000000,617808000000,0,442822000000,174986000000,155762000000,0,0,7500000000,148262000000,0,0,889844000000,44025000000,172064000000,200870000000
Kab Simalungun,Sumatera Utara,Anggaran,2018-07-05,2816179000000,661815000000,98950000000,16404000000,25500000000,520962000000,1688946000000,61601000000,1230816000000,396529000000,465418000000,128866000000,0,77309000000,0,0,259243000000,3156679000000,16469000000,700517000000,757902000000
Kab Tapanuli Selatan,Sumatera Utara,Anggaran,2018-07-05,1243243000000,110678000000,19537000000,16870000000,57272000000,16999000000,920379000000,109234000000,644304000000,166841000000,212185000000,19978000000,0,38350000000,8000000000,0,145857000000,1259998000000,27368000000,214783000000,288503000000
Kab Tapanuli Tengah,Sumatera Utara,Anggaran,2018-07-05,1212955000000,100000000000,29115000000,4680000000,12654000000,53551000000,905750000000,21322000000,627028000000,257400000000,207205000000,1147000000,0,31000000000,0,54000000000,121058000000,1221955000000,15451000000,247074000000,293563000000
Kab Tapanuli Utara,Sumatera Utara,Anggaran,2018-07-05,1282962000000,110009000000,16970000000,8374000000,7750000000,76915000000,873634000000,30470000000,639394000000,203770000000,299319000000,59284000000,0,41655000000,198380000000,0,0,1340258000000,58299000000,306528000000,176000000000
Kab Toba Samosir,Sumatera Utara,Anggaran,2018-07-05,985869000000,50147000000,15415000000,6352000000,4817000000,23563000000,716255000000,19757000000,528491000000,168007000000,219467000000,0,0,48156000000,17000000000,0,154311000000,1065343000000,31749000000,252401000000,133445000000
Kota Binjai,Sumatera Utara,Anggaran,2018-07-05,948180000000,136033000000,55094000000,7309000000,4213000000,69417000000,725647000000,24198000000,564378000000,137071000000,86500000000,0,0,44000000000,0,25000000000,17500000000,961857000000,58398000000,218371000000,212613000000
Kota Medan,Sumatera Utara,Anggaran,2018-07-05,5238966000000,2112663000000,1511000000000,250842000000,12300000000,338522000000,2246303000000,274380000000,1583624000000,388299000000,880000000000,0,0,780000000000,0,100000000000,0,5451086000000,720419000000,1642420000000,1168438000000
Kota Pematangsiantar,Sumatera Utara,Anggaran,2018-07-05,977913000000,128188000000,40100000000,13300000000,8387000000,66402000000,808465000000,29308000000,583106000000,196051000000,41259000000,0,0,41259000000,0,0,0,997385000000,76260000000,201130000000,242298000000
Kota Sibolga,Sumatera Utara,Anggaran,2018-07-05,641751000000,108129000000,9616000000,4931000000,14399000000,79183000000,520915000000,18907000000,405554000000,96454000000,12707000000,0,0,12707000000,0,0,0,662651000000,63032000000,198329000000,136425000000
Kota Tanjung Balai,Sumatera Utara,Anggaran,2018-07-05,625773000000,69061000000,13458000000,24651000000,6000000000,24951000000,530190000000,16260000000,418666000000,95264000000,26522000000,0,0,26522000000,0,0,0,831473000000,32568000000,205184000000,265956000000
Kota Tebing Tinggi,Sumatera Utara,Anggaran,2018-07-05,704172000000,105580000000,24227000000,4758000000,13500000000,63095000000,547815000000,0,427269000000,120546000000,50777000000,19606000000,0,31172000000,0,0,0,790417000000,16488000000,258494000000,204917000000
Kota Padangsidimpuan,Sumatera Utara,Anggaran,2018-07-05,824601000000,93314000000,17708000000,12915000000,16913000000,45778000000,656287000000,21831000000,498768000000,135687000000,75000000000,0,0,31278000000,33663000000,10000000000,60000000,843758000000,46769000000,223321000000,110303000000
Kab Pakpak Bharat,Sumatera Utara,Anggaran,2018-07-05,535531000000,28170000000,3571000000,6897000000,1200000000,16502000000,431432000000,15530000000,339272000000,76630000000,75929000000,0,0,9481000000,66448000000,0,0,617104000000,1051000000,148662000000,193622000000
Kab Nias Selatan,Sumatera Utara,Anggaran,2018-07-05,1160279000000,21079000000,5813000000,4537000000,4160000000,6569000000,779937000000,18326000000,556410000000,205201000000,359262000000,1000000000,0,25280000000,332982000000,0,0,1242460000000,13349000000,245199000000,218058000000
Kab Humbang Hasundutan,Sumatera Utara,Anggaran,2018-07-05,876763000000,61717000000,7530000000,5106000000,5609000000,43472000000,688717000000,17788000000,523818000000,147111000000,126329000000,1672000000,0,18966000000,0,0,105690000000,953693000000,34785000000,208017000000,168058000000
Kab Serdang Bedagai,Sumatera Utara,Anggaran,2018-07-05,1555997000000,219157000000,65240000000,17330000000,11000000000,125587000000,1128928000000,41244000000,763943000000,323741000000,207912000000,0,0,45000000000,162912000000,0,0,1545997000000,87168000000,268244000000,332120000000
Kab Samosir,Sumatera Utara,Anggaran,2018-07-05,775520000000,54289000000,13617000000,7179000000,5000000000,28493000000,615309000000,16469000000,453737000000,145102000000,105922000000,0,0,15000000000,90922000000,0,0,839153000000,24940000000,195898000000,180588000000
Kab Batubara,Sumatera Utara,Anggaran,2018-07-05,1054127000000,63226000000,31888000000,5743000000,0,25595000000,800415000000,32550000000,602464000000,165400000000,190486000000,52647000000,0,33256000000,104583000000,0,0,1075095000000,73349000000,194659000000,153731000000
Kab Padang Lawas,Sumatera Utara,Anggaran,2018-07-05,1039068000000,59568000000,13476000000,4642000000,4300000000,37150000000,708722000000,27058000000,521563000000,160101000000,270777000000,35973000000,0,30056000000,0,0,204748000000,1119938000000,44721000000,240959000000,193355000000
Kab Padang Lawas Utara,Sumatera Utara,Anggaran,2018-07-05,1080658000000,50219000000,7947000000,0,24139000000,18133000000,708737000000,23586000000,537470000000,147682000000,321702000000,32828000000,0,34555000000,0,0,254319000000,1118366000000,40978000000,199679000000,202601000000
Kab Labuhanbatu Selatan,Sumatera Utara,Anggaran,2018-07-05,889737000000,57291000000,21201000000,16382000000,1500000000,18208000000,719577000000,54328000000,504526000000,160723000000,112870000000,36067000000,0,30692000000,46111000000,0,0,930600000000,67530000000,209461000000,240181000000
Kab Labuhanbatu Utara,Sumatera Utara,Anggaran,2018-07-05,837031000000,51069000000,24240000000,10093000000,2000000000,14736000000,697779000000,33093000000,588022000000,76664000000,88182000000,0,0,20146000000,0,0,68037000000,871627000000,13767000000,215155000000,93508000000
Kab Nias Utara,Sumatera Utara,Anggaran,2018-07-05,780628000000,71897000000,3945000000,1360000000,1500000000,65092000000,574997000000,14572000000,413837000000,146588000000,133733000000,0,0,21769000000,0,0,111965000000,804412000000,57273000000,149863000000,212638000000
Kab Nias Barat,Sumatera Utara,Anggaran,2018-07-05,739405000000,50000000000,7500000000,4500000000,737000000,37263000000,576284000000,13949000000,348251000000,214084000000,113121000000,0,0,20831000000,92289000000,0,0,709049000000,32917000000,126157000000,261222000000
Kota Gunungsitoli,Sumatera Utara,Anggaran,2018-07-05,696982000000,36676000000,16150000000,3050000000,0,17476000000,557814000000,17305000000,426759000000,113750000000,102492000000,0,0,25000000000,0,0,77492000000,873639000000,29246000000,112837000000,326731000000
Kab Lima Puluh Kota,Sumatera Barat,Anggaran,2018-07-05,1284021000000,84798000000,23500000000,6416000000,2958000000,51925000000,1019644000000,18198000000,747073000000,254373000000,179579000000,0,0,38290000000,141289000000,0,0,1333434000000,20337000000,264823000000,254780000000
Kab Agam,Sumatera Barat,Anggaran,2018-07-05,1419303000000,106081000000,31465000000,6485000000,8618000000,59513000000,1117516000000,19682000000,813475000000,284359000000,195706000000,60607000000,0,45620000000,89479000000,0,0,1454226000000,41779000000,306654000000,229920000000
Kab Kepulauan Mentawai,Sumatera Barat,Anggaran,2018-07-05,949707000000,59851000000,3750000000,11407000000,20000000000,24694000000,798256000000,16593000000,610940000000,170723000000,91599000000,15490000000,0,30843000000,45267000000,0,0,1050389000000,102614000000,245328000000,343360000000
Kab Padang Pariaman,Sumatera Barat,Anggaran,2018-07-05,1450194000000,117736000000,40900000000,15440000000,7740000000,53656000000,1109718000000,14145000000,769827000000,325746000000,222741000000,71183000000,0,52450000000,16500000000,81808000000,800000000,1482951000000,24462000000,317654000000,305426000000
Kab Pasaman,Sumatera Barat,Anggaran,2018-07-05,963444000000,98526000000,8251000000,4960000000,9387000000,75928000000,772744000000,14480000000,596083000000,162180000000,92174000000,1000000000,0,35595000000,55579000000,0,0,1000159000000,12858000000,272974000000,138329000000
Kab Pesisir Selatan,Sumatera Barat,Anggaran,2018-07-05,1474494000000,125080000000,20999000000,14911000000,5500000000,83671000000,1139128000000,22756000000,838100000000,278272000000,210285000000,8219000000,0,47601000000,154466000000,0,0,1561532000000,77116000000,244600000000,285975000000
Kab Sijunjung,Sumatera Barat,Anggaran,2018-07-05,909560000000,73320000000,11658000000,5105000000,14255000000,42302000000,714839000000,14547000000,548573000000,151719000000,121401000000,0,0,36510000000,49641000000,0,35250000000,972485000000,31597000000,194174000000,209584000000
Kab Solok,Sumatera Barat,Anggaran,2018-07-05,1139958000000,71711000000,17518000000,9343000000,7539000000,37310000000,956835000000,14873000000,710963000000,230998000000,111413000000,3000000000,0,45536000000,62877000000,0,0,1166958000000,28097000000,218331000000,189208000000
Kab Tanah Datar,Sumatera Barat,Anggaran,2018-07-05,1260633000000,152110000000,17895000000,9823000000,30292000000,94100000000,985569000000,16770000000,695556000000,273244000000,122954000000,450000000,0,39955000000,82549000000,0,0,1334197000000,12512000000,312418000000,185348000000
Kota Bukittinggi,Sumatera Barat,Anggaran,2018-07-05,697464000000,99988000000,46068000000,37216000000,3449000000,13255000000,534339000000,16864000000,450906000000,66569000000,63137000000,12001000000,0,22885000000,28250000000,0,0,810989000000,38908000000,186066000000,251924000000
Kota Padang Panjang,Sumatera Barat,Anggaran,2018-07-05,627739000000,140045000000,7925000000,5986000000,12000000000,114134000000,454314000000,11315000000,375436000000,67562000000,33381000000,0,0,17997000000,8000000000,0,7384000000,687539000000,5054000000,264582000000,145269000000
Kota Padang,Sumatera Barat,Anggaran,2018-07-05,2327875000000,601249000000,400912000000,69902000000,18718000000,111716000000,1471198000000,86051000000,1100371000000,284776000000,255429000000,125446000000,0,101732000000,28250000000,0,0,2387534000000,32580000000,740412000000,415172000000
Kota Payakumbuh,Sumatera Barat,Anggaran,2018-07-05,723593000000,107516000000,16573000000,7514000000,11535000000,71895000000,560692000000,17648000000,437697000000,105347000000,55384000000,17317000000,0,21567000000,16500000000,0,0,768044000000,15134000000,257767000000,158113000000
Kota Sawahlunto,Sumatera Barat,Anggaran,2018-07-05,613224000000,65580000000,5750000000,4147000000,12635000000,43048000000,475467000000,18295000000,375131000000,82041000000,72177000000,0,0,21165000000,50978000000,0,34000000,667201000000,0,218863000000,132186000000
Kota Solok,Sumatera Barat,Anggaran,2018-07-05,581107000000,49000000000,7983000000,9026000000,10800000000,21192000000,491619000000,14590000000,398106000000,78923000000,40488000000,10962000000,0,19706000000,9500000000,320000000,0,713760000000,20759000000,253409000000,165820000000
Kota Pariaman,Sumatera Barat,Anggaran,2018-07-05,586522000000,39508000000,8827000000,6940000000,6291000000,17451000000,465907000000,15997000000,415241000000,34669000000,81107000000,0,0,39501000000,41607000000,0,0,659032000000,5453000000,158909000000,156900000000
Kab Pasaman Barat,Sumatera Barat,Anggaran,2018-07-05,1187467000000,102623000000,20816000000,9539000000,2577000000,69691000000,900007000000,23502000000,644334000000,232171000000,184837000000,65172000000,0,48204000000,71461000000,0,0,1309467000000,26723000000,301082000000,382046000000
Kab Dharmasraya,Sumatera Barat,Anggaran,2018-07-05,896502000000,80086000000,18670000000,5942000000,5144000000,50330000000,714426000000,18537000000,502298000000,193591000000,101990000000,2200000000,0,39041000000,60749000000,0,0,929502000000,698000000,210205000000,241664000000
Kab Solok Selatan,Sumatera Barat,Anggaran,2018-07-05,782114000000,60000000000,11763000000,2085000000,2500000000,43652000000,646036000000,18543000000,480406000000,147087000000,76078000000,4200000000,0,36156000000,35721000000,0,0,812267000000,9074000000,158163000000,238322000000
Kab Bengkalis,Riau,Anggaran,2018-07-05,3572360000000,512162000000,225000000000,27110000000,40000000000,220051000000,2656896000000,2250499000000,345071000000,61326000000,403303000000,0,0,103309000000,299994000000,0,0,3632360000000,52482000000,933650000000,1219705000000
Kab Indragiri Hilir,Riau,Anggaran,2018-07-05,1840529000000,166345000000,33968000000,7594000000,11640000000,113143000000,1356076000000,195934000000,918603000000,241539000000,318109000000,72627000000,0,99093000000,146389000000,0,0,2115538000000,58893000000,639352000000,311896000000
Kab Indragiri Hulu,Riau,Anggaran,2018-07-05,1397870000000,106679000000,29115000000,3865000000,1658000000,72041000000,1078168000000,233299000000,646609000000,198259000000,213023000000,0,0,72590000000,140433000000,0,0,1399954000000,20984000000,372628000000,143526000000
Kab Kampar,Riau,Anggaran,2018-07-05,2149430000000,214237000000,82000000000,20817000000,34448000000,76972000000,1672839000000,565702000000,774370000000,332767000000,262353000000,0,0,77463000000,184891000000,0,0,2221556000000,29928000000,468935000000,364600000000
Kab Kuantan Singingi,Riau,Anggaran,2018-07-05,1338478000000,87134000000,34745000000,12830000000,4740000000,34819000000,1007449000000,174614000000,618562000000,214273000000,243895000000,0,0,91018000000,152877000000,0,0,1368375000000,42657000000,285028000000,188650000000
Kab Pelalawan,Riau,Anggaran,2018-07-05,1385614000000,133693000000,54855000000,11016000000,15889000000,51933000000,1074626000000,294508000000,610600000000,169519000000,177295000000,0,0,87854000000,89441000000,0,0,1245473000000,58726000000,372655000000,122422000000
Kab Rokan Hilir,Riau,Anggaran,2018-07-05,1770948000000,106025000000,28039000000,3322000000,10754000000,63909000000,1429888000000,798349000000,432023000000,199516000000,235036000000,0,0,108175000000,0,126861000000,0,1732035000000,8451000000,541047000000,242817000000
Kab Rokan Hulu,Riau,Anggaran,2018-07-05,1262049000000,142544000000,67918000000,7034000000,2770000000,64822000000,909046000000,254754000000,654291000000,0,210459000000,0,0,91002000000,119457000000,0,0,1335401000000,18182000000,389837000000,263925000000
Kab Siak,Riau,Anggaran,2018-07-05,1821923000000,274522000000,108830000000,18452000000,42800000000,104440000000,1290078000000,871560000000,323294000000,95224000000,257323000000,0,0,104700000000,152623000000,0,0,1698026000000,30871000000,619960000000,118067000000
Kota Dumai,Riau,Anggaran,2018-07-05,1142376000000,245309000000,117587000000,38003000000,6705000000,83014000000,817067000000,211723000000,427188000000,178155000000,80000000000,0,0,80000000000,0,0,0,1142376000000,71923000000,389632000000,173801000000
Kota Pekanbaru,Riau,Anggaran,2018-07-05,2477787000000,1024120000000,799951000000,189766000000,4358000000,30046000000,1306724000000,272785000000,798138000000,235801000000,146943000000,0,0,119693000000,27250000000,0,0,2455037000000,18491000000,799325000000,595261000000
Kab Kepulauan Meranti,Riau,Anggaran,2018-07-05,1178201000000,81160000000,12910000000,3275000000,22000000000,42975000000,852373000000,275949000000,403427000000,172997000000,244668000000,27950000000,0,66381000000,118777000000,31560000000,0,1130816000000,51111000000,331275000000,207463000000
Kab Batanghari,Jambi,Anggaran,2018-07-05,1246198000000,112000000000,33042000000,6266000000,10500000000,62191000000,920500000000,158817000000,605739000000,155943000000,213698000000,40639000000,0,46789000000,115829000000,10440000000,0,1258698000000,95999000000,304090000000,160772000000
Kab Bungo,Jambi,Anggaran,2018-07-05,1246360000000,137657000000,32615000000,4560000000,4230000000,96251000000,896584000000,59216000000,635999000000,201369000000,212118000000,0,0,56557000000,143381000000,12180000000,0,1318081000000,53909000000,310297000000,177443000000
Kab Kerinci,Jambi,Anggaran,2018-07-05,1161391000000,80235000000,12425000000,4116000000,9000000000,54694000000,794291000000,42033000000,589203000000,163056000000,286865000000,8000000000,0,36815000000,224830000000,17220000000,0,1180197000000,48585000000,198535000000,184607000000
Kab Merangin,Jambi,Anggaran,2018-07-05,1332967000000,85426000000,20002000000,8022000000,4900000000,52502000000,979757000000,46637000000,718849000000,214271000000,267784000000,48834000000,0,50142000000,148561000000,20246000000,0,1392792000000,92250000000,276489000000,215959000000
Kab Muaro Jambi,Jambi,Anggaran,2018-07-05,1243025000000,76903000000,40115000000,14483000000,5372000000,16933000000,973235000000,100476000000,670341000000,202418000000,192887000000,0,0,49467000000,142421000000,0,1000000000,1289740000000,42341000000,185154000000,356440000000
Kab Sarolangun,Jambi,Anggaran,2018-07-05,1172456000000,99780000000,16204000000,2536000000,11721000000,69319000000,866561000000,83819000000,583152000000,199589000000,206115000000,0,0,33841000000,115794000000,12480000000,44000000000,1249260000000,107371000000,250631000000,242800000000
Kab Tanjung Jabung Barat,Jambi,Anggaran,2018-07-05,1232711000000,85000000000,27092000000,2995000000,9981000000,44931000000,1010538000000,356738000000,506589000000,147210000000,137173000000,0,0,47732000000,89441000000,0,0,1296377000000,77571000000,274568000000,327927000000
Kab Tanjung Jabung Timur,Jambi,Anggaran,2018-07-05,1085323000000,73171000000,17398000000,2049000000,6000000000,47723000000,907093000000,156265000000,540401000000,210427000000,105059000000,0,0,35900000000,60579000000,8580000000,0,1153425000000,70019000000,244421000000,310838000000
Kab Tebo,Jambi,Anggaran,2018-07-05,1036923000000,72822000000,16503000000,4936000000,7000000000,44383000000,789620000000,67464000000,582313000000,139842000000,174481000000,0,0,47000000000,117761000000,9720000000,0,1050076000000,49243000000,168618000000,258011000000
Kota Jambi,Jambi,Anggaran,2018-07-05,1627978000000,328897000000,200000000000,42846000000,8500000000,77551000000,1125551000000,118944000000,714783000000,291824000000,173530000000,61845000000,0,86965000000,18000000000,6720000000,0,1671628000000,80091000000,410408000000,431850000000
Kota Sungai Penuh,Jambi,Anggaran,2018-07-05,714055000000,42626000000,12659000000,7170000000,8359000000,14438000000,565668000000,39973000000,422533000000,103163000000,105761000000,0,0,33600000000,65021000000,7140000000,0,796128000000,68286000000,157624000000,191119000000
Kab Lahat,Sumatera Selatan,Anggaran,2018-07-05,1740438000000,121766000000,39467000000,6600000000,6500000000,69199000000,1297252000000,372414000000,696380000000,228458000000,321420000000,1320000000,0,22692000000,294408000000,3000000000,0,1838591000000,8021000000,336260000000,317690000000
Kab Musi Banyuasin,Sumatera Selatan,Anggaran,2018-07-05,2703265000000,212734000000,72701000000,9678000000,13000000000,117355000000,2150843000000,1813917000000,336926000000,0,339689000000,97788000000,0,60098000000,0,0,181803000000,3203365000000,83583000000,844813000000,1045987000000
Kab Musi Rawas,Sumatera Selatan,Anggaran,2018-07-05,1697033000000,121863000000,37542000000,4174000000,5500000000,74647000000,1283515000000,363129000000,639753000000,280633000000,291655000000,54838000000,0,29929000000,203389000000,3500000000,0,1681581000000,63778000000,436526000000,369209000000
Kab Muara Enim,Sumatera Selatan,Anggaran,2018-07-05,2064926000000,171691000000,57299000000,11661000000,8071000000,94660000000,1520473000000,616109000000,661337000000,243027000000,372762000000,87024000000,0,33706000000,0,0,252032000000,2417264000000,13964000000,678544000000,453722000000
Kab Ogan Komering Ilir,Sumatera Selatan,Anggaran,2018-07-05,2231344000000,356429000000,51504000000,5478000000,7000000000,292448000000,1582372000000,147853000000,1053841000000,380679000000,292542000000,0,0,13624000000,26250000000,0,252669000000,2241275000000,36347000000,397431000000,307568000000
